doi,type of publication,repository link,link to publication,title,authors,title of the journal etc,number etc,relevant pages,ISBN,publisher,place of publication,year of publication,open access,peer reviewed
10.1371/journal.pcbi.1006316,Article in Journal,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1006316,http://dx.doi.org/10.1371/journal.pcbi.1006316,Model-based spatial navigation in the hippocampus-ventral striatum circuit: A computational analysis,"Ivilin Peev Stoianov, Cyriel M. A. Pennartz, Carien S. Lansink, Giovani Pezzulo","PLOS Computational Biology, Vol. 14, No. 9",,,,Public Library of Science (PLoS),,2018,Gold,True
10.1007/978-3-030-00931-1_76,Chapter in Book,https://arxiv.org/abs/1806.05104,http://dx.doi.org/10.1007/978-3-030-00931-1_76,Improving Cytoarchitectonic Segmentation of Human Brain Areas with Self-supervised Siamese Networks,"Hannah Spitzer, Kai Kiwitz, Katrin Amunts, Stefan Harmeling, Timo Dickscheid",Medical Image Computing and Computer Assisted Intervention – MICCAI 2018,,,,Springer International Publishing,,2018,Green,True
10.1371/journal.pcbi.1006423,Article in Journal,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1006423#ack,http://dx.doi.org/10.1371/journal.pcbi.1006423,The physiological variability of channel density in hippocampal CA1 pyramidal cells and interneurons explored using a unified data-driven modeling workflow,"Rosanna Migliore, Carmen A. Lupascu, Luca L. Bologna, Armando Romani, Jean-Denis Courcol, Stefano Antonel, Werner A. H. Van Geit, Alex M. Thomson, Audrey Mercer, Sigrun Lange, Joanne Falck, Christian A. Rössert, Ying Shi, Olivier Hagens, Maurizio Pezzoli, Tamas F. Freund, Szabolcs Kali, Eilif B. Muller, Felix Schürmann, Henry Markram, Michele Migliore","PLOS Computational Biology, Vol. 14, No. 9",,,,Public Library of Science (PLoS),,2018,Gold,True
10.3389/fneur.2018.00769,Article in Journal,https://www.frontiersin.org/articles/10.3389/fneur.2018.00769/full,http://dx.doi.org/10.3389/fneur.2018.00769,A Heartbeat Away From Consciousness: Heart Rate Variability Entropy Can Discriminate Disorders of Consciousness and Is Correlated With Resting-State fMRI Brain Connectivity of the Central Autonomic Network,"Francesco Riganello, Stephen Karl Larroque, Mohamed Ali Bahri, Lizette Heine, Charlotte Martial, Manon Carrière, Vanessa Charland-Verville, Charlène Aubinet, Audrey Vanhaudenhuyse, Camille Chatelle, Steven Laureys, Carol Di Perri","Frontiers in Neurology, Vol. 9",,,,Frontiers Media SA,,2018,Gold,False
10.20868/UPM.thesis.51432,Thesis Or Dissertation,None,http://dx.doi.org/10.20868/upm.thesis.51432,Directional-linear Bayesian networks and applications in neuroscience,Ignacio Leguey Vitoriano,None,,,,Universidad Politecnica de Madrid - University Library,,2018,No,False
10.1152/jn.00210.2018,Article in Journal,None,http://dx.doi.org/10.1152/jn.00210.2018,Combining biophysical modeling and deep learning for multielectrode array neuron localization and classification,"Alessio P. Buccino, Michael Kordovan, Torbjørn V. Ness, Benjamin Merkt, Philipp D. Häfliger, Marianne Fyhn, Gert Cauwenberghs, Stefan Rotter, Gaute T. Einevoll","Journal of Neurophysiology, Vol. 120, No. 3",,,,American Physiological Society,,2018,Gold,True
10.1007/s00429-018-1738-6,Article in Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6267244/,http://dx.doi.org/10.1007/s00429-018-1738-6,"Cytoarchitecture, probability maps, and functions of the human supplementary and pre-supplementary motor areas","Jianghai Ruan, Sebastian Bludau, Nicola Palomero-Gallagher, Svenja Caspers, Hartmut Mohlberg, Simon B. Eickhoff, Rüdiger J. Seitz, Katrin Amunts","Brain Structure and Function, Volume 223, Issue 9, pp 4169–4186",,,,"Springer Nature America, Inc",,2018,Gold,True
10.7554/eLife.33752.001,Article in Journal,None,https://elifesciences.org/articles/33752#abstract,A neural-level model of spatial memory and imagery,"Andrej Bicanski, Neil Burgess",elife,,,,"eLife Sciences Publications, Ltd",,2018,Gold,True
10.1007/978-3-319-97550-4_7,Chapter in Book,https://link.springer.com/chapter/10.1007/978-3-319-97550-4_7,http://dx.doi.org/10.1007/978-3-319-97550-4_7,The Synthetic Psychology of the Self,"Tony J. Prescott, Daniel Camilleri","Intelligent Systems, Control and Automation: Science and Engineering",,,,Springer International Publishing,,2018,No,False
10.1016/j.cortex.2018.09.008,Article in Journal,https://www.sciencedirect.com/science/article/pii/S0010945218302958?via%3Dihub,http://dx.doi.org/10.1016/j.cortex.2018.09.008,"Differences in cytoarchitecture of Broca's region between human, ape and macaque brains","Nicola Palomero-Gallagher, Karl Zilles",Cortex,,,,Elsevier BV,,2018,Gold,False
